===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2018-03-18 18:00:17
count workspace : e:\Projects\EdForge\ISP_Tutor\EFTutorEngineOne
total files : 454
total code lines : 46813
total comment lines : 24252
total blank lines : 14082

.gitignore, code is 1, comment is 3, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZHintIcon.as, code is 24, comment is 36, blank is 16.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZHintText.as, code is 60, comment is 37, blank is 27.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZHoverMask.as, code is 50, comment is 40, blank is 29.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZMaskButton.as, code is 17, comment is 37, blank is 9.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZMouseMask.as, code is 47, comment is 45, blank is 22.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZNavigator.as, code is 344, comment is 237, blank is 167.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZObject.as, code is 986, comment is 341, blank is 403.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZObjectDyno.as, code is 29, comment is 41, blank is 11.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZObjectMask.as, code is 10, comment is 28, blank is 1.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZPromptButton.as, code is 70, comment is 36, blank is 26.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZPromptDlg.as, code is 114, comment is 49, blank is 49.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZRadioButton.as, code is 1, comment is 1, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZRect.as, code is 122, comment is 57, blank is 64.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZRoot.as, code is 427, comment is 178, blank is 182.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\CWOZScene.as, code is 231, comment is 145, blank is 122.
